item_id,order_id,quantity
4,0,4
7,0,2
12,0,5
1,1,2
9,1,3
12,1,2
3,2,1
8,2,5
14,2,5
6,3,2
7,3,2
14,3,5
3,4,3
10,4,4
12,4,4
4,5,4
7,5,4
13,5,2
1,6,1
7,6,2
12,6,5
4,7,1
8,7,5
16,7,1
6,8,4
9,8,4
14,8,5
2,9,2
11,9,4
13,9,1
2,10,2
9,10,3
15,10,3
2,11,2
9,11,4
16,11,2
4,12,3
10,12,1
14,12,2
4,13,4
8,13,5
13,13,5
1,14,3
10,14,5
16,14,1
5,15,5
8,15,5
13,15,1
2,16,3
9,16,2
16,16,2
2,17,2
9,17,5
13,17,4
5,18,4
10,18,5
13,18,5
4,19,1
11,19,4
14,19,3
1,20,3
9,20,3
13,20,3
4,21,3
8,21,4
16,21,2
4,22,2
8,22,3
13,22,2
1,23,1
8,23,1
15,23,4
2,24,3
8,24,2
13,24,1
5,25,3
9,25,3
14,25,4
5,26,2
7,26,3
13,26,1
3,27,5
8,27,1
14,27,5
5,28,5
7,28,1
16,28,5
3,29,3
7,29,4
14,29,3
2,30,4
11,30,2
12,30,1
4,31,1
10,31,1
16,31,2
3,32,1
8,32,3
13,32,4
4,33,1
8,33,5
15,33,3
1,34,2
8,34,3
15,34,1
6,35,3
9,35,3
13,35,2
1,36,2
8,36,3
13,36,1
4,37,4
10,37,3
13,37,5
3,38,5
9,38,4
12,38,4
2,39,4
7,39,4
13,39,3
5,40,4
10,40,1
15,40,4
1,41,5
7,41,3
14,41,3
6,42,1
9,42,4
12,42,1
1,43,2
11,43,3
14,43,5
5,44,3
11,44,4
14,44,2
1,45,3
10,45,2
13,45,3
6,46,3
9,46,2
13,46,1
4,47,5
10,47,5
15,47,4
4,48,5
9,48,3
14,48,2
3,49,3
10,49,5
12,49,2
1,50,5
10,50,1
16,50,4
4,51,3
8,51,4
15,51,2
6,52,4
7,52,2
13,52,1
2,53,1
9,53,4
15,53,3
2,54,5
10,54,2
16,54,3
2,55,5
10,55,5
14,55,3
5,56,4
10,56,1
13,56,5
3,57,3
8,57,2
12,57,2
5,58,5
11,58,1
16,58,5
3,59,5
11,59,4
12,59,2
5,60,4
7,60,4
13,60,5
6,61,3
7,61,5
16,61,2
4,62,3
10,62,4
15,62,1
1,63,3
9,63,3
16,63,4
1,64,1
8,64,2
13,64,4
5,65,4
11,65,5
14,65,3
5,66,1
9,66,1
15,66,1
2,67,1
10,67,4
16,67,1
2,68,5
8,68,4
13,68,5
2,69,2
7,69,4
13,69,2
2,70,2
10,70,1
12,70,3
1,71,4
8,71,1
12,71,3
4,72,1
8,72,4
14,72,2
2,73,1
8,73,4
16,73,4
5,74,4
8,74,3
15,74,1
1,75,1
11,75,2
14,75,2
3,76,4
7,76,4
14,76,5
1,77,1
11,77,4
15,77,1
1,78,2
7,78,1
12,78,2
3,79,2
11,79,3
12,79,4
5,80,2
10,80,5
14,80,4
4,81,1
10,81,3
15,81,4
1,82,1
11,82,3
16,82,2
5,83,5
10,83,4
15,83,5
6,84,1
10,84,4
13,84,1
4,85,1
7,85,1
15,85,3
3,86,3
10,86,4
16,86,5
3,87,5
7,87,1
16,87,2
4,88,1
7,88,5
14,88,4
6,89,2
11,89,2
16,89,3
4,90,5
7,90,2
15,90,3
3,91,1
9,91,1
13,91,3
4,92,5
11,92,3
14,92,3
2,93,2
10,93,3
16,93,4
1,94,1
10,94,4
12,94,5
2,95,3
7,95,1
13,95,2
1,96,1
9,96,5
13,96,1
1,97,1
7,97,2
16,97,2
1,98,5
9,98,2
12,98,1
2,99,2
8,99,4
14,99,1
3,100,1
10,100,1
15,100,1
6,101,2
9,101,2
16,101,1
1,102,5
11,102,1
12,102,5
6,103,3
9,103,3
13,103,5
6,104,1
11,104,3
15,104,3
6,105,5
7,105,3
16,105,5
1,106,4
8,106,2
16,106,1
2,107,1
9,107,5
12,107,1
2,108,2
7,108,1
14,108,2
3,109,5
8,109,1
14,109,2
3,110,5
10,110,4
14,110,5
3,111,3
7,111,1
15,111,3
1,112,4
10,112,4
15,112,3
6,113,2
8,113,5
16,113,2
3,114,2
8,114,4
16,114,3
2,115,3
8,115,4
16,115,2
5,116,3
11,116,4
14,116,2
5,117,1
10,117,2
15,117,5
1,118,4
7,118,4
13,118,1
6,119,4
11,119,2
15,119,3
4,120,4
11,120,5
16,120,2
1,121,2
9,121,1
16,121,4
4,122,3
11,122,3
12,122,1
5,123,4
7,123,2
16,123,1
2,124,2
11,124,1
14,124,4
2,125,4
8,125,4
13,125,5
3,126,4
7,126,5
16,126,2
5,127,3
11,127,5
15,127,2
5,128,4
9,128,5
14,128,5
5,129,5
8,129,4
12,129,5
4,130,5
7,130,4
14,130,3
3,131,4
10,131,3
13,131,4
5,132,1
8,132,1
15,132,4
1,133,3
9,133,4
13,133,2
6,134,5
11,134,5
14,134,5
1,135,4
10,135,5
13,135,4
6,136,5
11,136,4
15,136,5
1,137,5
11,137,1
14,137,1
1,138,3
7,138,1
12,138,4
3,139,3
8,139,1
13,139,5
3,140,5
7,140,5
15,140,3
1,141,2
11,141,3
15,141,4
5,142,3
10,142,3
16,142,4
2,143,5
11,143,1
13,143,4
3,144,5
7,144,5
12,144,3
4,145,3
10,145,5
14,145,5
1,146,5
11,146,1
15,146,4
5,147,4
9,147,3
12,147,2
2,148,4
7,148,5
14,148,3
2,149,2
10,149,2
12,149,4
3,150,5
8,150,5
15,150,3
2,151,4
10,151,4
16,151,2
6,152,4
10,152,5
13,152,5
2,153,3
11,153,3
14,153,4
2,154,5
10,154,5
16,154,4
5,155,4
7,155,4
15,155,3
4,156,1
11,156,2
14,156,5
2,157,1
9,157,2
15,157,5
4,158,2
8,158,4
12,158,2
5,159,4
7,159,3
12,159,1
6,160,4
11,160,2
16,160,2
6,161,3
8,161,3
14,161,2
5,162,2
8,162,4
14,162,4
1,163,3
8,163,1
14,163,4
3,164,1
7,164,5
16,164,4
2,165,4
9,165,2
14,165,1
2,166,4
10,166,3
14,166,4
2,167,2
7,167,3
12,167,5
2,168,4
9,168,2
14,168,2
6,169,2
7,169,4
16,169,2
1,170,5
11,170,5
13,170,4
3,171,2
10,171,3
12,171,5
5,172,5
8,172,2
13,172,3
1,173,5
8,173,2
16,173,5
3,174,4
8,174,2
13,174,4
4,175,1
8,175,5
16,175,2
4,176,5
9,176,3
12,176,1
2,177,4
11,177,3
14,177,4
5,178,2
8,178,4
16,178,5
6,179,2
9,179,5
13,179,1
4,180,2
8,180,3
16,180,2
5,181,3
7,181,2
16,181,3
3,182,2
8,182,1
15,182,5
2,183,4
7,183,1
13,183,5
6,184,5
9,184,5
12,184,3
5,185,3
11,185,1
14,185,4
3,186,5
11,186,1
12,186,4
2,187,3
8,187,1
14,187,3
5,188,1
7,188,5
16,188,5
2,189,2
8,189,5
12,189,4
1,190,1
7,190,2
16,190,3
2,191,2
8,191,1
13,191,2
3,192,1
8,192,1
14,192,2
4,193,1
9,193,4
12,193,5
3,194,5
9,194,4
12,194,4
1,195,4
10,195,2
13,195,3
1,196,5
11,196,1
16,196,1
3,197,5
8,197,3
12,197,1
5,198,2
7,198,4
16,198,2
3,199,4
7,199,4
13,199,3
4,200,5
9,200,2
14,200,2
3,201,2
10,201,5
15,201,4
1,202,4
7,202,5
13,202,5
1,203,5
9,203,4
16,203,4
6,204,1
7,204,1
15,204,5
2,205,3
8,205,3
13,205,3
6,206,3
10,206,5
16,206,5
4,207,4
9,207,1
14,207,5
3,208,3
10,208,3
13,208,5
2,209,2
10,209,3
16,209,2
6,210,5
10,210,2
16,210,1
6,211,2
11,211,1
16,211,4
5,212,5
11,212,3
14,212,4
4,213,3
9,213,2
13,213,1
6,214,3
9,214,4
14,214,5
3,215,4
9,215,1
13,215,1
1,216,4
7,216,2
13,216,3
1,217,4
10,217,5
15,217,3
5,218,5
7,218,4
13,218,3
6,219,2
8,219,3
16,219,1
4,220,3
8,220,3
16,220,2
6,221,1
7,221,2
14,221,3
5,222,2
11,222,1
12,222,1
5,223,2
8,223,3
13,223,2
4,224,2
8,224,5
14,224,1
4,225,2
9,225,5
12,225,3
1,226,1
11,226,4
13,226,2
3,227,3
11,227,3
12,227,5
1,228,4
8,228,3
13,228,2
6,229,4
10,229,5
13,229,1
2,230,2
9,230,1
15,230,3
5,231,2
8,231,5
14,231,2
5,232,1
7,232,5
15,232,4
1,233,3
8,233,5
13,233,5
3,234,5
7,234,4
16,234,5
4,235,4
7,235,4
13,235,1
3,236,1
10,236,3
16,236,4
2,237,2
11,237,4
12,237,4
6,238,2
8,238,2
15,238,4
3,239,4
8,239,3
13,239,4
5,240,1
10,240,2
12,240,4
1,241,2
10,241,5
15,241,1
2,242,3
10,242,1
16,242,4
6,243,4
8,243,3
14,243,5
5,244,1
7,244,2
16,244,1
1,245,1
8,245,5
13,245,3
4,246,5
8,246,3
16,246,4
2,247,2
10,247,2
16,247,2
4,248,5
8,248,5
14,248,4
3,249,5
10,249,1
15,249,5
4,250,5
11,250,4
12,250,3
6,251,1
7,251,5
15,251,3
4,252,2
11,252,5
15,252,4
5,253,4
8,253,5
12,253,2
3,254,3
11,254,1
13,254,5
6,255,5
11,255,4
16,255,2
3,256,5
10,256,4
13,256,4
4,257,5
7,257,1
13,257,2
2,258,4
9,258,5
15,258,2
1,259,5
11,259,3
14,259,2
5,260,2
9,260,5
13,260,2
5,261,2
9,261,2
14,261,2
1,262,1
11,262,5
15,262,4
1,263,1
9,263,1
16,263,2
6,264,2
7,264,4
16,264,1
