status,user_id,created_at,updated_at
2,25,2016-11-18,2016-11-18
0,13,2016-11-01,2016-11-01
2,16,2017-04-22,2017-04-22
1,4,2017-02-18,2017-02-18
2,28,2017-03-31,2017-03-31
0,7,2017-05-22,2017-05-22
1,7,2017-08-11,2017-08-11
0,17,2017-10-19,2017-10-19
0,9,2017-01-30,2017-01-30
0,10,2016-11-24,2016-11-24
2,13,2017-01-23,2017-01-23
0,2,2017-05-20,2017-05-20
2,8,2017-04-21,2017-04-21
0,17,2017-05-02,2017-05-02
2,5,2016-11-14,2016-11-14
0,14,2017-05-13,2017-05-13
2,24,2016-11-19,2016-11-19
0,22,2017-11-04,2017-11-04
2,7,2016-08-30,2016-08-30
0,18,2016-09-15,2016-09-15
0,17,2017-05-10,2017-05-10
0,1,2017-11-10,2017-11-10
2,5,2017-06-11,2017-06-11
2,8,2018-01-02,2018-01-02
0,16,2017-01-06,2017-01-06
0,1,2017-08-02,2017-08-02
2,9,2017-12-04,2017-12-04
1,9,2016-10-01,2016-10-01
0,28,2017-07-09,2017-07-09
2,3,2016-12-19,2016-12-19
0,19,2017-04-12,2017-04-12
2,8,2016-10-12,2016-10-12
0,8,2017-10-11,2017-10-11
0,29,2016-10-19,2016-10-19
0,25,2016-09-26,2016-09-26
2,16,2017-03-19,2017-03-19
1,24,2017-02-07,2017-02-07
1,16,2017-09-16,2017-09-16
2,16,2017-02-01,2017-02-01
0,25,2017-04-06,2017-04-06
1,5,2017-02-14,2017-02-14
1,29,2017-12-06,2017-12-06
2,26,2016-10-24,2016-10-24
2,23,2017-09-03,2017-09-03
1,17,2017-07-18,2017-07-18
2,15,2017-01-27,2017-01-27
0,25,2016-09-23,2016-09-23
0,27,2017-11-06,2017-11-06
2,6,2017-03-09,2017-03-09
0,14,2016-09-15,2016-09-15
1,3,2017-01-12,2017-01-12
1,6,2016-12-21,2016-12-21
0,14,2017-07-23,2017-07-23
1,4,2017-10-31,2017-10-31
0,12,2017-08-15,2017-08-15
2,26,2017-08-03,2017-08-03
2,3,2017-10-27,2017-10-27
2,26,2017-12-14,2017-12-14
2,29,2017-05-08,2017-05-08
0,6,2017-03-20,2017-03-20
1,10,2017-11-18,2017-11-18
1,27,2017-11-29,2017-11-29
1,25,2017-07-24,2017-07-24
0,20,2017-09-08,2017-09-08
2,16,2016-12-21,2016-12-21
2,28,2016-12-28,2016-12-28
1,1,2017-08-26,2017-08-26
2,5,2017-02-17,2017-02-17
0,24,2016-10-15,2016-10-15
0,3,2017-04-01,2017-04-01
2,24,2017-02-06,2017-02-06
2,11,2017-07-12,2017-07-12
1,18,2017-09-08,2017-09-08
1,17,2017-02-18,2017-02-18
